tweet_content,emotion,decision_type,financial_strategy,financial_goal,sentiment_score,likes,retweets,replies,spending_behavior,financial_behavior
"I can't stand how much I'm paying in interest every month. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Buying a House",Disgust,Balanced,Saving,Buying a House,0.64,796,427,68,Average,Good behavior
"I trust that my investments will pay off in the long run. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Trust,Aggressive,Debt Management,Retirement Savings,0.98,210,375,0,Frugal,Risky behavior
"Unexpected financial setbacks taught me to be more cautious. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Retirement Savings",Surprise,Balanced,Budgeting,Retirement Savings,0.63,996,185,22,Splurge,Good behavior
"I need to be more mindful of my financial decisions after a recent setback. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Retirement Savings",Sadness,Aggressive,Saving,Retirement Savings,0.22,216,493,95,Average,Moderate behavior
"I thought I could afford that new gadget, but it looks like I need to save more. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Buying a House",Disappointment,Balanced,Saving,Buying a House,0.9,11,479,85,Average,Good behavior
"I never imagined how quickly my savings could grow with consistent investing. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Retirement Savings",Surprise,Balanced,Saving,Retirement Savings,-0.31,218,54,68,Frugal,Good behavior
"I was surprised to learn how much money I could save by budgeting properly! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Surprise,Balanced,Debt Management,Retirement Savings,0.51,540,353,28,Average,Good behavior
"I need to be more mindful of my financial decisions after a recent setback. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Education Fund",Sadness,Aggressive,Budgeting,Education Fund,0.3,250,405,13,Frugal,Moderate behavior
"Planning for retirement early is the best decision I’ve ever made. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Buying a House",Positive,Conservative,Debt Management,Buying a House,0.11,687,339,51,Frugal,Moderate behavior
"I’m angry at myself for not sticking to my financial goals last year. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Buying a House",Anger,Conservative,Debt Management,Buying a House,0.09,539,393,41,Frugal,Moderate behavior
"I’m feeling a bit down about my current financial situation, but I know I’ll bounce back. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Education Fund",Sadness,Balanced,Budgeting,Education Fund,0.82,971,347,13,Frugal,Good behavior
"Planning for retirement early is the best decision I’ve ever made. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Positive,Aggressive,Debt Management,Retirement Savings,-0.36,707,137,22,Splurge,Risky behavior
"I'm thrilled to be saving for my future, it's so empowering! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Emergency Fund",Joy,Conservative,Budgeting,Emergency Fund,0.66,634,306,62,Average,Good behavior
"It’s tough seeing my investments lose value, but I’ll recover. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Education Fund",Sadness,Balanced,Budgeting,Education Fund,-0.78,217,418,48,Frugal,Good behavior
"I’m angry at myself for not sticking to my financial goals last year. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Emergency Fund",Anger,Aggressive,Budgeting,Emergency Fund,-0.34,874,246,91,Frugal,Moderate behavior
"I need to be more mindful of my financial decisions after a recent setback. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Retirement Savings",Sadness,Conservative,Saving,Retirement Savings,0.12,934,434,18,Average,Good behavior
"Fear of debt keeps me up at night, but I’m working on paying it off. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Education Fund",Fear,Conservative,Saving,Education Fund,0.28,113,26,52,Average,Good behavior
"Anticipating a future of financial freedom after reaching my savings goals. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Buying a House",Anticipation,Balanced,Budgeting,Buying a House,-0.4,290,365,78,Splurge,Good behavior
"Saving every month for a house down payment is a fulfilling goal. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Buying a House",Positive,Conservative,Investing,Buying a House,-0.94,597,426,100,Splurge,Moderate behavior
"Looking forward to the rewards of my investment strategy over time. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Education Fund",Anticipation,Aggressive,Investing,Education Fund,-0.96,139,425,95,Average,Risky behavior
"I can't wait to see how my investments perform in the next few years. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Emergency Fund",Anticipation,Conservative,Investing,Emergency Fund,-0.99,788,79,18,Splurge,Moderate behavior
"I’m feeling a bit down about my current financial situation, but I know I’ll bounce back. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Retirement Savings",Sadness,Conservative,Budgeting,Retirement Savings,-0.36,357,40,28,Splurge,Good behavior
"I was surprised to learn how much money I could save by budgeting properly! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Emergency Fund",Surprise,Aggressive,Budgeting,Emergency Fund,0.25,634,220,31,Frugal,Moderate behavior
"I didn’t meet my savings goal this month, but I’ll keep pushing forward. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Emergency Fund",Disappointment,Conservative,Budgeting,Emergency Fund,0.91,765,267,82,Average,Good behavior
"The fees associated with these loans are just too much. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Retirement Savings",Disgust,Aggressive,Investing,Retirement Savings,-0.03,140,37,0,Frugal,Risky behavior
"What if I lose my job and don’t have enough savings to cover expenses? #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Buying a House",Fear,Balanced,Saving,Buying a House,-0.41,624,219,93,Frugal,Good behavior
"Building my emergency fund is a step toward financial security and peace of mind. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Retirement Savings",Trust,Conservative,Investing,Retirement Savings,-0.35,724,162,32,Average,Moderate behavior
"I’m feeling a bit down about my current financial situation, but I know I’ll bounce back. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Education Fund",Sadness,Balanced,Debt Management,Education Fund,-0.9,350,175,37,Frugal,Good behavior
"I'm disappointed in my recent financial decisions, but there's always room to improve. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Retirement Savings",Disappointment,Conservative,Investing,Retirement Savings,0.52,838,157,81,Frugal,Moderate behavior
"I thought I could afford that new gadget, but it looks like I need to save more. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Emergency Fund",Disappointment,Aggressive,Budgeting,Emergency Fund,0.69,127,429,41,Splurge,Moderate behavior
"Making smart financial decisions is bringing me closer to my goals! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Emergency Fund",Joy,Conservative,Investing,Emergency Fund,-0.85,129,269,56,Splurge,Moderate behavior
"I thought I could afford that new gadget, but it looks like I need to save more. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Buying a House",Disappointment,Aggressive,Debt Management,Buying a House,-0.97,984,1,85,Average,Risky behavior
"Unexpected financial setbacks taught me to be more cautious. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Education Fund",Surprise,Aggressive,Saving,Education Fund,0.47,2,435,40,Splurge,Moderate behavior
"I can't believe how much I’m paying in interest on my credit card! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Education Fund",Anger,Conservative,Investing,Education Fund,-0.32,18,337,46,Splurge,Moderate behavior
"I’m feeling a bit down about my current financial situation, but I know I’ll bounce back. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Emergency Fund",Sadness,Aggressive,Debt Management,Emergency Fund,0.99,355,201,55,Average,Risky behavior
"I’m disgusted by how my financial situation has been mismanaged in the past. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Buying a House",Disgust,Aggressive,Saving,Buying a House,-0.87,636,39,10,Average,Moderate behavior
"What if I lose my job and don’t have enough savings to cover expenses? #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Buying a House",Fear,Conservative,Investing,Buying a House,-0.27,528,43,69,Average,Moderate behavior
"Looking forward to the rewards of my investment strategy over time. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Anticipation,Conservative,Debt Management,Retirement Savings,-0.68,441,323,33,Average,Moderate behavior
"I'm thrilled to be saving for my future, it's so empowering! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Emergency Fund",Joy,Conservative,Investing,Emergency Fund,-0.58,336,98,79,Splurge,Moderate behavior
"Building my emergency fund is a step toward financial security and peace of mind. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Education Fund",Trust,Aggressive,Investing,Education Fund,-0.84,744,63,14,Splurge,Risky behavior
"The fees associated with these loans are just too much. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Emergency Fund",Disgust,Aggressive,Saving,Emergency Fund,-0.38,485,495,54,Splurge,Moderate behavior
"I need to be more mindful of my financial decisions after a recent setback. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Retirement Savings",Sadness,Balanced,Investing,Retirement Savings,0.56,480,202,49,Splurge,Moderate behavior
"Looking forward to the rewards of my investment strategy over time. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Buying a House",Anticipation,Aggressive,Debt Management,Buying a House,0.08,786,495,77,Frugal,Risky behavior
"I trust that my investments will pay off in the long run. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Emergency Fund",Trust,Conservative,Saving,Emergency Fund,0.33,426,332,55,Frugal,Good behavior
"Fear of debt keeps me up at night, but I’m working on paying it off. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Emergency Fund",Fear,Conservative,Investing,Emergency Fund,-0.21,477,351,84,Splurge,Moderate behavior
"I’m feeling a bit down about my current financial situation, but I know I’ll bounce back. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Emergency Fund",Sadness,Aggressive,Saving,Emergency Fund,-0.99,35,306,20,Splurge,Moderate behavior
"Feeling accomplished after sticking to my budget this month. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Education Fund",Joy,Balanced,Investing,Education Fund,-0.46,494,405,63,Average,Moderate behavior
"I'm thrilled to be saving for my future, it's so empowering! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Retirement Savings",Joy,Aggressive,Investing,Retirement Savings,-0.15,989,392,66,Average,Risky behavior
"I'm scared that I won’t have enough money saved for retirement. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Buying a House",Fear,Balanced,Budgeting,Buying a House,0.41,400,89,49,Frugal,Good behavior
"I can't wait to see how my investments perform in the next few years. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Education Fund",Anticipation,Conservative,Saving,Education Fund,-0.22,134,287,90,Average,Good behavior
"Anticipating a future of financial freedom after reaching my savings goals. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Emergency Fund",Anticipation,Balanced,Budgeting,Emergency Fund,0.93,46,336,93,Average,Good behavior
"Feeling accomplished after sticking to my budget this month. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Education Fund",Joy,Aggressive,Debt Management,Education Fund,-0.6,342,344,40,Splurge,Risky behavior
"Making smart financial decisions is bringing me closer to my goals! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Joy,Balanced,Debt Management,Retirement Savings,-0.09,691,312,5,Average,Good behavior
"Saving every month for a house down payment is a fulfilling goal. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Emergency Fund",Positive,Aggressive,Saving,Emergency Fund,0.29,294,421,5,Average,Moderate behavior
"I’m feeling a bit down about my current financial situation, but I know I’ll bounce back. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Emergency Fund",Sadness,Aggressive,Investing,Emergency Fund,-0.32,414,46,47,Frugal,Risky behavior
"I can't wait to see how my investments perform in the next few years. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Buying a House",Anticipation,Balanced,Investing,Buying a House,-0.06,875,470,12,Frugal,Moderate behavior
"I can't stand how much I'm paying in interest every month. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Retirement Savings",Disgust,Balanced,Budgeting,Retirement Savings,-0.05,798,199,63,Splurge,Good behavior
"Making smart financial decisions is bringing me closer to my goals! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Education Fund",Joy,Balanced,Debt Management,Education Fund,-0.46,987,362,47,Frugal,Good behavior
"I can't believe how much I’m paying in interest on my credit card! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Retirement Savings",Anger,Balanced,Budgeting,Retirement Savings,-0.11,891,420,83,Splurge,Good behavior
"It's so frustrating when I see unnecessary fees eating into my savings! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Emergency Fund",Anger,Conservative,Debt Management,Emergency Fund,0.03,871,244,34,Splurge,Moderate behavior
"Unexpected financial setbacks taught me to be more cautious. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Retirement Savings",Surprise,Aggressive,Budgeting,Retirement Savings,-0.26,283,10,91,Frugal,Moderate behavior
"I'm disappointed in my recent financial decisions, but there's always room to improve. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Buying a House",Disappointment,Aggressive,Saving,Buying a House,-0.98,591,259,24,Average,Moderate behavior
"Fear of debt keeps me up at night, but I’m working on paying it off. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Emergency Fund",Fear,Conservative,Saving,Emergency Fund,-0.07,944,29,76,Frugal,Good behavior
"I never imagined how quickly my savings could grow with consistent investing. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Education Fund",Surprise,Aggressive,Debt Management,Education Fund,-0.44,769,153,25,Frugal,Risky behavior
"Starting my investment journey feels like the right step towards financial freedom. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Buying a House",Positive,Aggressive,Debt Management,Buying a House,0.73,358,384,10,Frugal,Risky behavior
"I can't stand how much I'm paying in interest every month. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Emergency Fund",Disgust,Conservative,Debt Management,Emergency Fund,-0.37,335,499,40,Frugal,Moderate behavior
"The fees associated with these loans are just too much. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Buying a House",Disgust,Conservative,Investing,Buying a House,-0.44,605,378,74,Splurge,Moderate behavior
"I'm thrilled to be saving for my future, it's so empowering! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Education Fund",Joy,Balanced,Debt Management,Education Fund,-0.96,412,165,59,Frugal,Good behavior
"I never imagined how quickly my savings could grow with consistent investing. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Emergency Fund",Surprise,Conservative,Saving,Emergency Fund,-0.39,702,108,43,Frugal,Good behavior
"I’m angry at myself for not sticking to my financial goals last year. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Buying a House",Anger,Aggressive,Investing,Buying a House,-0.65,761,74,22,Frugal,Risky behavior
"I never imagined how quickly my savings could grow with consistent investing. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Buying a House",Surprise,Aggressive,Saving,Buying a House,-0.59,678,130,64,Splurge,Moderate behavior
"I can't stand how much I'm paying in interest every month. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Education Fund",Disgust,Aggressive,Saving,Education Fund,0.06,527,230,74,Frugal,Moderate behavior
"I can't stand how much I'm paying in interest every month. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Education Fund",Disgust,Balanced,Debt Management,Education Fund,0.28,6,417,91,Splurge,Good behavior
"Building my emergency fund is a step toward financial security and peace of mind. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Buying a House",Trust,Conservative,Investing,Buying a House,0.44,251,64,20,Frugal,Moderate behavior
"I'm placing my trust in the budgeting system I’ve set up for the year. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Buying a House",Trust,Conservative,Saving,Buying a House,-0.33,930,405,44,Frugal,Good behavior
"Planning for retirement early is the best decision I’ve ever made. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Buying a House",Positive,Balanced,Investing,Buying a House,-0.18,417,438,31,Splurge,Moderate behavior
"Feeling accomplished after sticking to my budget this month. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Joy,Balanced,Debt Management,Retirement Savings,0.03,788,402,83,Average,Good behavior
"It's so frustrating when I see unnecessary fees eating into my savings! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Emergency Fund",Anger,Aggressive,Investing,Emergency Fund,-0.49,923,102,53,Frugal,Risky behavior
"Unexpected financial setbacks taught me to be more cautious. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Buying a House",Surprise,Conservative,Debt Management,Buying a House,-0.34,608,454,51,Frugal,Moderate behavior
"What if I lose my job and don’t have enough savings to cover expenses? #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Fear,Conservative,Debt Management,Retirement Savings,0.95,285,205,34,Average,Moderate behavior
"I trust that my investments will pay off in the long run. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Buying a House",Trust,Aggressive,Debt Management,Buying a House,-0.96,472,10,99,Average,Risky behavior
"Unexpected financial setbacks taught me to be more cautious. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Buying a House",Surprise,Conservative,Saving,Buying a House,-0.51,357,460,20,Splurge,Good behavior
"Planning for retirement early is the best decision I’ve ever made. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Retirement Savings",Positive,Balanced,Saving,Retirement Savings,0.61,893,334,34,Splurge,Good behavior
"I was surprised to learn how much money I could save by budgeting properly! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Education Fund",Surprise,Aggressive,Budgeting,Education Fund,0.54,614,19,7,Average,Moderate behavior
"I’m angry at myself for not sticking to my financial goals last year. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Emergency Fund",Anger,Conservative,Budgeting,Emergency Fund,-0.65,398,79,91,Average,Good behavior
"Starting my investment journey feels like the right step towards financial freedom. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Education Fund",Positive,Balanced,Debt Management,Education Fund,-0.07,140,153,6,Splurge,Good behavior
"What if I lose my job and don’t have enough savings to cover expenses? #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Emergency Fund",Fear,Balanced,Budgeting,Emergency Fund,-0.03,775,427,83,Average,Good behavior
"Feeling accomplished after sticking to my budget this month. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Joy,Aggressive,Debt Management,Retirement Savings,0.27,278,348,6,Splurge,Risky behavior
"Fear of debt keeps me up at night, but I’m working on paying it off. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Emergency Fund",Fear,Balanced,Saving,Emergency Fund,-0.24,706,87,60,Average,Good behavior
"Starting my investment journey feels like the right step towards financial freedom. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Education Fund",Positive,Conservative,Debt Management,Education Fund,0.97,555,132,54,Frugal,Moderate behavior
"I never imagined how quickly my savings could grow with consistent investing. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Retirement Savings",Surprise,Aggressive,Saving,Retirement Savings,0.23,509,258,50,Frugal,Moderate behavior
"The fees associated with these loans are just too much. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Emergency Fund",Disgust,Conservative,Saving,Emergency Fund,0.97,258,218,74,Splurge,Good behavior
"I can't wait to see how my investments perform in the next few years. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Emergency Fund",Anticipation,Aggressive,Budgeting,Emergency Fund,-0.04,579,90,89,Average,Moderate behavior
"It’s tough seeing my investments lose value, but I’ll recover. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Education Fund",Sadness,Aggressive,Debt Management,Education Fund,-0.88,631,27,18,Frugal,Risky behavior
"Saving every month for a house down payment is a fulfilling goal. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Emergency Fund",Positive,Balanced,Investing,Emergency Fund,0.83,645,252,96,Frugal,Moderate behavior
"I can't stand how much I'm paying in interest every month. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Emergency Fund",Disgust,Aggressive,Saving,Emergency Fund,0.48,405,152,32,Splurge,Moderate behavior
"Unexpected financial setbacks taught me to be more cautious. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Education Fund",Surprise,Balanced,Budgeting,Education Fund,-0.29,149,112,27,Average,Good behavior
"Planning for retirement early is the best decision I’ve ever made. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Retirement Savings",Positive,Aggressive,Saving,Retirement Savings,-0.77,772,338,6,Average,Moderate behavior
"Fear of debt keeps me up at night, but I’m working on paying it off. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Retirement Savings",Fear,Balanced,Saving,Retirement Savings,-0.95,730,320,84,Frugal,Good behavior
"I thought I could afford that new gadget, but it looks like I need to save more. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Buying a House",Disappointment,Aggressive,Saving,Buying a House,-0.89,834,341,70,Average,Moderate behavior
"Building my emergency fund is a step toward financial security and peace of mind. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Emergency Fund",Trust,Conservative,Budgeting,Emergency Fund,-0.4,192,233,93,Splurge,Good behavior
"Building my emergency fund is a step toward financial security and peace of mind. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Education Fund",Trust,Conservative,Investing,Education Fund,0.3,71,284,98,Frugal,Moderate behavior
"Feeling accomplished after sticking to my budget this month. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Emergency Fund",Joy,Aggressive,Saving,Emergency Fund,0.34,865,89,68,Splurge,Moderate behavior
"I trust that my investments will pay off in the long run. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Retirement Savings",Trust,Conservative,Investing,Retirement Savings,-0.16,761,119,13,Splurge,Moderate behavior
"I'm placing my trust in the budgeting system I’ve set up for the year. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Buying a House",Trust,Conservative,Budgeting,Buying a House,0.52,19,326,75,Splurge,Good behavior
"I was surprised to learn how much money I could save by budgeting properly! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Emergency Fund",Surprise,Aggressive,Budgeting,Emergency Fund,0.87,908,70,13,Frugal,Moderate behavior
"I’m disgusted by how my financial situation has been mismanaged in the past. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Retirement Savings",Disgust,Aggressive,Investing,Retirement Savings,0.18,279,110,59,Frugal,Risky behavior
"I trust that my investments will pay off in the long run. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Education Fund",Trust,Aggressive,Budgeting,Education Fund,-0.82,797,184,65,Splurge,Moderate behavior
"Unexpected financial setbacks taught me to be more cautious. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Education Fund",Surprise,Conservative,Budgeting,Education Fund,0.45,41,34,27,Splurge,Good behavior
"I’m angry at myself for not sticking to my financial goals last year. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Buying a House",Anger,Conservative,Budgeting,Buying a House,0.91,240,315,95,Frugal,Good behavior
"Planning for retirement early is the best decision I’ve ever made. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Positive,Conservative,Debt Management,Retirement Savings,0.32,826,414,92,Average,Moderate behavior
"Feeling accomplished after sticking to my budget this month. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Buying a House",Joy,Conservative,Debt Management,Buying a House,-0.24,905,396,93,Frugal,Moderate behavior
"Looking forward to the rewards of my investment strategy over time. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Education Fund",Anticipation,Balanced,Investing,Education Fund,0.8,818,119,6,Splurge,Moderate behavior
"I can't believe how much I’m paying in interest on my credit card! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Education Fund",Anger,Balanced,Saving,Education Fund,0.1,740,231,20,Splurge,Good behavior
"Unexpected financial setbacks taught me to be more cautious. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Education Fund",Surprise,Conservative,Debt Management,Education Fund,-0.46,568,395,15,Splurge,Moderate behavior
"I’m feeling a bit down about my current financial situation, but I know I’ll bounce back. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Retirement Savings",Sadness,Balanced,Investing,Retirement Savings,-0.44,95,439,70,Frugal,Moderate behavior
"Anticipating a future of financial freedom after reaching my savings goals. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Buying a House",Anticipation,Conservative,Saving,Buying a House,-0.1,393,80,49,Frugal,Good behavior
"The fees associated with these loans are just too much. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Disgust,Aggressive,Debt Management,Retirement Savings,0.23,180,487,100,Average,Risky behavior
"I’m disgusted by how my financial situation has been mismanaged in the past. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Retirement Savings",Disgust,Aggressive,Budgeting,Retirement Savings,0.87,113,333,99,Splurge,Moderate behavior
"I’m angry at myself for not sticking to my financial goals last year. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Buying a House",Anger,Conservative,Debt Management,Buying a House,-0.3,442,276,98,Average,Moderate behavior
"I'm scared that I won’t have enough money saved for retirement. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Emergency Fund",Fear,Aggressive,Debt Management,Emergency Fund,0.46,466,500,9,Frugal,Risky behavior
"Saving every month for a house down payment is a fulfilling goal. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Emergency Fund",Positive,Aggressive,Budgeting,Emergency Fund,0.13,473,85,24,Splurge,Moderate behavior
"I thought I could afford that new gadget, but it looks like I need to save more. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Disappointment,Aggressive,Debt Management,Retirement Savings,-0.57,98,200,90,Splurge,Risky behavior
"I need to be more mindful of my financial decisions after a recent setback. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Retirement Savings",Sadness,Balanced,Saving,Retirement Savings,-0.6,372,400,34,Average,Good behavior
